AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  66,017,615 ","  33,470,642 ","  32,546,973 ","  48,470,675 ","  24,505,453 ","  23,965,222 ","  17,546,940 ","  8,965,189 ","  8,581,751 "
Andhra Pradesh,"  56,375,755 ","  28,537,184 ","  27,838,571 ","  43,083,713 ","  21,775,794 ","  21,307,919 ","  13,292,042 ","  6,761,390 ","  6,530,652 "
Arunachal Pradesh,"  1,333 ",  864 ,  469 ,  929 ,  608 ,  321 ,  404 ,  256 ,  148 
Assam,"  22,816 ","  12,268 ","  10,548 ","  11,679 ","  6,240 ","  5,439 ","  11,137 ","  6,028 ","  5,109 "
Bihar,"  33,008 ","  17,318 ","  15,690 ","  1,748 ","  1,046 ",  702 ,"  31,260 ","  16,272 ","  14,988 "
Goa,"  7,949 ","  4,408 ","  3,541 ","  2,745 ","  1,463 ","  1,282 ","  5,204 ","  2,945 ","  2,259 "
Gujarat,"  49,109 ","  27,051 ","  22,058 ","  4,075 ","  2,552 ","  1,523 ","  45,034 ","  24,499 ","  20,535 "
Haryana,"  2,402 ","  1,218 ","  1,184 ",  677 ,  347 ,  330 ,"  1,725 ",  871 ,  854 
Himachal Pradesh,  597 ,  323 ,  274 ,  350 ,  219 ,  131 ,  247 ,  104 ,  143 
Karnataka,"  3,325,062 ","  1,699,250 ","  1,625,812 ","  2,031,627 ","  1,032,503 ","  999,124 ","  1,293,435 ","  666,747 ","  626,688 "
Kerala,"  47,216 ","  23,949 ","  23,267 ","  26,619 ","  13,395 ","  13,224 ","  20,597 ","  10,554 ","  10,043 "
Madhya Pradesh,"  162,645 ","  84,881 ","  77,764 ","  58,672 ","  30,022 ","  28,650 ","  103,973 ","  54,859 ","  49,114 "
Maharashtra,"  1,122,332 ","  593,793 ","  528,539 ","  409,085 ","  209,478 ","  199,607 ","  713,247 ","  384,315 ","  328,932 "
Manipur,  376 ,  239 ,  137 ,  168 ,  120 ,  48 ,  208 ,  119 ,  89 
Meghalaya,  528 ,  333 ,  195 ,  255 ,  156 ,  99 ,  273 ,  177 ,  96 
Mizoram,  179 ,  127 ,  52 ,  52 ,  41 ,  11 ,  127 ,  86 ,  41 
Nagaland,  416 ,  271 ,  145 ,  156 ,  100 ,  56 ,  260 ,  171 ,  89 
Orissa,"  665,001 ","  332,925 ","  332,076 ","  401,283 ","  197,752 ","  203,531 ","  263,718 ","  135,173 ","  128,545 "
Punjab,"  3,829 ","  1,974 ","  1,855 ","  1,599 ",  727 ,  872 ,"  2,230 ","  1,247 ",  983 
Rajasthan,"  7,332 ","  4,858 ","  2,474 ","  1,713 ","  1,177 ",  536 ,"  5,619 ","  3,681 ","  1,938 "
Sikkim,  184 ,  113 ,  71 ,  144 ,  91 ,  53 ,  40 ,  22 ,  18 
Tamil Nadu,"  3,975,561 ","  2,013,473 ","  1,962,088 ","  2,406,206 ","  1,216,647 ","  1,189,559 ","  1,569,355 ","  796,826 ","  772,529 "
Tripura,"  2,932 ","  1,586 ","  1,346 ","  2,754 ","  1,495 ","  1,259 ",  178 ,  91 ,  87 
Uttar Pradesh,"  10,597 ","  6,173 ","  4,424 ","  2,167 ","  1,258 ",  909 ,"  8,430 ","  4,915 ","  3,515 "
West Bengal,"  108,443 ","  57,044 ","  51,399 ","  3,270 ","  1,772 ","  1,498 ","  105,173 ","  55,272 ","  49,901 "
Andaman & Nicobar Isl,"  32,979 ","  18,219 ","  14,760 ","  15,421 ","  8,581 ","  6,840 ","  17,558 ","  9,638 ","  7,920 "
Chandigarh ,"  1,131 ",  608 ,  523 ,  26 ,  17 ,  9 ,"  1,105 ",  591 ,  514 
Dadra & Nagar Haveli,  112 ,  62 ,  50 ,  64 ,  38 ,  26 ,  48 ,  24 ,  24 
Daman & Diu,  95 ,  51 ,  44 ,  37 ,  19 ,  18 ,  58 ,  32 ,  26 
Delhi ,"  22,882 ","  12,460 ","  10,422 ",  541 ,  310 ,  231 ,"  22,341 ","  12,150 ","  10,191 "
Lakshadweep ,  15 ,  9 ,  6 ,  2 ,  2 ,  -   ,  13 ,  7 ,  6 
Pondicherry ,"  34,799 ","  17,610 ","  17,189 ","  2,898 ","  1,483 ","  1,415 ","  31,901 ","  16,127 ","  15,774 "